station,browse_name,node_class,value_type,value,node_id,path
(root),Encoding,Variable,string,UA Binary,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.Encoding,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),TransportProtocol,Variable,string,TCP,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.TransportProtocol,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),SecurityMode,Variable,int,1,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.SecurityMode,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),SecurityPolicyUri,Variable,string,http://opcfoundation.org/UA/SecurityPolicy#None,ns=1;s=Session_3783273336.SessionSecurityDiagnostics.SecurityPolicyUri,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),ClientCertificate,Variable,string,"b'0\x82\x04B0\x82\x03*\xa0\x03\x02\x01\x02\x02\x14""\x1a=m?\x85\xb3}3]\xc8\xe1\xd7\x14E\xc1Y\xad\xc0\xa30\r\x06\t*\x86...",ns=1;s=Session_3783273336.SessionSecurityDiagnostics.ClientCertificate,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SessionSecurityDiagnostics
(root),53957594,Variable,string,"SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Nume...",ns=1;s=Subscription_53957594,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SubscriptionDiagnosticsArray
(root),53957595,Variable,string,"SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Nume...",ns=1;s=Subscription_53957595,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SubscriptionDiagnosticsArray
(root),53957596,Variable,string,"SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Nume...",ns=1;s=Subscription_53957596,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SubscriptionDiagnosticsArray
(root),53957597,Variable,string,"SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Nume...",ns=1;s=Subscription_53957597,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SubscriptionDiagnosticsArray
(root),53957598,Variable,string,"SubscriptionDiagnosticsDataType(SessionId=NodeId(Identifier=3783273336, NamespaceIndex=1, NodeIdType=<NodeIdType.Nume...",ns=1;s=Subscription_53957598,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary/Session1/SubscriptionDiagnosticsArray
